Time,Position,Velocity,Acceleration,Jerk
0.1,440,20,0,0
0.2,442,20,0,0
0.4,446,20,0,0
0.5,448,20,0,0
0.8,454,20,0,0
0.9,456,20,0,0
1,458,20,0,0
1.1,460,20,0,0
1.3,464,20,0,0
1.5,468,20,0,0
1.6,470,20,0,0
1.7,472,20,0,0
1.8,474,20,0,0
1.9,476,20,0,0
2,478,20,0,0
2.1,480,20,0,0
2.2,482,20,0,0
2.5,488,20,0,0
2.6,490,20,0,0
2.7,492,20,0,0
3,498,20,0,0
3.1,500,20,0,0
3.2,502,20,0,0
3.3,504,20,0,0
3.4,506,20,0,0
3.5,508,20,0,0
3.6,510,20,0,0
3.7,512,20,0,0
3.8,514,20,0,0
3.9,516,20,0,0
4,518,20,0,0
4.2,522,20,0,0
4.3,524,20,0,0
4.4,526,20,0,0
4.5,528,20,0,0
4.7,532,20,0,0
4.9,536,20,0,0
5,538,20,0,0
5.2,542,20,0,0
5.4,546,20,0,0
5.5,548,20,0,0
5.7,552,20,0,0
5.9,556,20,0,0
6,558,20,0,0
6.2,562,20,0,0
6.4,566,20,0,0
6.5,568,20,0,0
6.6,570,20,0,0
6.7,572,20,0,0
6.8,574,20,0,0
6.9,576,20,0,0
7,578,20,0,0
7.1,580,20,0,0
7.2,582,20,0,0
7.3,584,20,0,0
7.4,586,20,0,0
7.5,588,20,0,0
7.6,590,20,0,0
7.7,592,20,0,0
7.8,594,20,0,0
7.9,596,20,0,0
8,598,20,0,0
8.1,600,20,0,0
8.3,604,20,0,0
8.4,606,20,0,0
8.5,608,20,0,0
8.6,610,20,0,0
8.8,614,20,0,0
8.9,616,20,0,0
9,618,20,0,0
9.1,620,20,0,0
9.3,624,20,0,0
9.4,626,20,0,0
9.5,628,20,0,0
9.8,634,20,0,0
9.9,636,20,0,0
10,638,20,0,0
10.3,644,20,0,0
10.4,646,20,0,0
10.5,648,20,0,0
10.8,654,20,0,0
10.9,656,20,0,0
11,658,20,0,0
11.3,664,20,0,0
11.4,666,20,0,0
11.5,668,20,0,0
11.8,674,20,0,0
11.9,676,20,0,0
12,678,20,0,0
12.3,684,20,0,0
12.4,686,20,0,0
12.5,688,20,0,0
12.8,694,20,0,0
12.9,696,20,0,0
13,698,20,0,0
13.1,700,20,0,0
13.2,702,20,0,0
13.3,704,20,0,0
13.4,706,20,0,0
13.5,708,20,0,0
13.6,710,20,0,0
13.7,712,20,0,0
13.8,714,20,0,0
13.9,716,20,0,0
14,718,20,0,0
14.1,720,20,0,0
14.2,722,20,0,0
14.3,724,20,0,0
14.4,726,20,0,0
14.5,728,20,0,0
14.6,730,20,0,0
14.7,732,20,0,0
14.8,734,20,0,0
14.9,736,20,0,0
15,738,20,0,0
15.1,740,20,0,0
15.2,742,20,0,0
15.3,744,20,0,0
15.4,746,20,0,0
15.5,748,20,0,0
15.6,750,20,0,0
15.7,752,20,0,0
15.8,754,20,0,0
15.9,756,20,0,0
16,758,20,0,0
16.1,760,20,0,0
16.2,762,20,0,0
16.3,764,20,0,0
16.5,768,20,0,0
16.6,770,20,0,0
16.7,772,20,0,0
16.8,774,20,0,0
17,778,20,0,0
17.1,780,20,0,0
17.2,782,20,0,0
17.3,784,20,0,0
17.5,788,20,0,0
17.6,790,20,0,0
17.7,792,20,0,0
17.8,794,20,0,0
18,798,20,0,0
18.1,800,20,0,0
18.2,802,20,0,0
18.3,804,20,0,0
18.5,808,20,0,0
18.6,810,20,0,0
18.7,812,20,0,0
18.8,814,20,0,0
19,818,20,0,0
19.1,820,20,0,0
19.3,824,20,0,0
19.5,828,20,0,0
19.6,830,20,0,0
19.8,834,20,0,0
20,838,20,0,0
20.1,840,20,0,0
20.3,844,20,0,0
20.5,848,20,0,0
20.6,850,20,0,0
20.8,854,20,0,0
21,858,20,0,0
21.1,860,20,0,0
21.3,864,20,0,0
21.5,868,20,0,0
21.6,870,20,0,0
21.8,874,20,0,0
22,878,20,0,0
22.1,880,20,0,0
22.3,884,20,0,0
22.5,888,20,0,0
22.6,890,20,0,0
22.8,894,20,0,0
23,898,20,0,0
23.1,900,20,0,0
23.3,904,20,0,0
23.5,908,20,0,0
23.6,910,20,0,0
23.8,914,20,0,0
24,918,20,0,0
24.1,920,20,0,0
24.3,924,20,0,0
24.5,928,20,0,0
24.6,930,20,0,0
24.8,934,20,0,0
25,938,20,0,0
25.1,940,20,0,0
25.3,944,20,0,0
25.5,948,20,0,0
25.6,950,20,0,0
25.7,952,20,0,0
25.8,954,20,0,0
25.9,956,20,0,0
26,958,20,0,0
26.1,960,20,0,0
26.2,962,20,0,0
26.3,964,20,0,0
26.4,966,20,0,0
26.5,968,20,0,0
26.6,970,20,0,0
26.7,972,20,0,0
26.8,974,20,0,0
26.9,976,20,0,0
27,978,20,0,0
27.1,980,20,0,0
27.2,982,20,0,0
27.3,984,20,0,0
27.4,986,20,0,0
27.5,988,20,0,0
27.6,990,20,0,0
27.7,992,20,0,0
27.8,994,20,0,0
27.9,996,20,0,0
28,998,20,0,0
28.1,1000,20,0,0
28.2,1002,20,0,0
28.3,1004,20,0,0
28.4,1006,20,0,0
28.5,1008,20,0,0
28.6,1010,20,0,0
28.7,1012,20,0,0
28.8,1014,20,0,0
28.9,1016,20,0,0
29,1018,20,0,0
29.1,1020,20,0,0
29.2,1022,20,0,0
29.3,1024,20,0,0
29.4,1026,20,0,0
29.5,1028,20,0,0
29.6,1030,20,0,0
29.7,1032,20,0,0
29.8,1034,20,0,0
29.9,1036,20,0,0
30,1038,20,0,0
