Time,Position,Velocity,Acceleration,Jerk
0.1,-40,20,0,0
0.2,-38,20,0,0
0.4,-34,20,0,0
0.5,-32,20,0,0
0.8,-26,20,0,0
0.9,-24,20,0,0
1,-22,20,0,0
1.1,-20,20,0,0
1.3,-16,20,0,0
1.5,-12,20,0,0
1.6,-10,20,0,0
1.7,-8,20,0,0
1.8,-6,20,0,0
1.9,-4,20,0,0
2,-2,20,0,0
2.1,0,20,0,0
2.2,2,20,0,0
2.5,8,20,0,0
2.6,10,20,0,0
2.7,12,20,0,0
3,18,20,0,0
3.1,20,20,0,0
3.2,22,20,0,0
3.3,24,20,0,0
3.4,26,20,0,0
3.5,28,20,0,0
3.6,30,20,0,0
3.7,32,20,0,0
3.8,34,20,0,0
3.9,36,20,0,0
4,38,20,0,0
4.2,42,20,0,0
4.3,44,20,0,0
4.4,46,20,0,0
4.5,48,20,0,0
4.7,52,20,0,0
4.9,56,20,0,0
5,58,20,0,0
5.2,62,20,0,0
5.4,66,20,0,0
5.5,68,20,0,0
5.7,72,20,0,0
5.9,76,20,0,0
6,78,20,0,0
6.2,82,20,0,0
6.4,86,20,0,0
6.5,88,20,0,0
6.6,90,20,0,0
6.7,92,20,0,0
6.8,94,20,0,0
6.9,96,20,0,0
7,98,20,0,0
7.1,100,20,0,0
7.2,102,20,0,0
7.3,104,20,0,0
7.4,106,20,0,0
7.5,108,20,0,0
7.6,110,20,0,0
7.7,112,20,0,0
7.8,114,20,0,0
7.9,116,20,0,0
8,118,20,0,0
8.1,120,20,0,0
8.3,124,20,0,0
8.4,126,20,0,0
8.5,128,20,0,0
8.6,130,20,0,0
8.8,134,20,0,0
8.9,136,20,0,0
9,138,20,0,0
9.1,140,20,0,0
9.3,144,20,0,0
9.4,146,20,0,0
9.5,148,20,0,0
9.8,154,20,0,0
9.9,156,20,0,0
10,158,20,0,0
10.3,164,20,0,0
10.4,166,20,0,0
10.5,168,20,0,0
10.8,174,20,0,0
10.9,176,20,0,0
11,178,20,0,0
11.3,184,20,0,0
11.4,186,20,0,0
11.5,188,20,0,0
11.8,194,20,0,0
11.9,196,20,0,0
12,198,20,0,0
12.3,204,20,0,0
12.4,206,20,0,0
12.5,208,20,0,0
12.8,214,20,0,0
12.9,216,20,0,0
13,218,20,0,0
13.1,220,20,0,0
13.2,222,20,0,0
13.3,224,20,0,0
13.4,226,20,0,0
13.5,228,20,0,0
13.6,230,20,0,0
13.7,232,20,0,0
13.8,234,20,0,0
13.9,236,20,0,0
14,238,20,0,0
14.1,240,20,0,0
14.2,242,20,0,0
14.3,244,20,0,0
14.4,246,20,0,0
14.5,248,20,0,0
14.6,250,20,0,0
14.7,252,20,0,0
14.8,254,20,0,0
14.9,256,20,0,0
15,258,20,0,0
15.1,260,20,0,0
15.2,262,20,0,0
15.3,264,20,0,0
15.4,266,20,0,0
15.5,268,20,0,0
15.6,270,20,0,0
15.7,272,20,0,0
15.8,274,20,0,0
15.9,276,20,0,0
16,278,20,0,0
16.1,280,20,0,0
16.2,282,20,0,0
16.3,284,20,0,0
16.5,288,20,0,0
16.6,290,20,0,0
16.7,292,20,0,0
16.8,294,20,0,0
17,298,20,0,0
17.1,300,20,0,0
17.2,302,20,0,0
17.3,304,20,0,0
17.5,308,20,0,0
17.6,310,20,0,0
17.7,312,20,0,0
17.8,314,20,0,0
18,318,20,0,0
18.1,320,20,0,0
18.2,322,20,0,0
18.3,324,20,0,0
18.5,328,20,0,0
18.6,330,20,0,0
18.7,332,20,0,0
18.8,334,20,0,0
19,338,20,0,0
19.1,340,20,0,0
19.3,344,20,0,0
19.5,348,20,0,0
19.6,350,20,0,0
19.8,354,20,0,0
20,358,20,0,0
20.1,360,20,0,0
20.3,364,20,0,0
20.5,368,20,0,0
20.6,370,20,0,0
20.8,374,20,0,0
21,378,20,0,0
21.1,380,20,0,0
21.3,384,20,0,0
21.5,388,20,0,0
21.6,390,20,0,0
21.8,394,20,0,0
22,398,20,0,0
22.1,400,20,0,0
22.3,404,20,0,0
22.5,408,20,0,0
22.6,410,20,0,0
22.8,414,20,0,0
23,418,20,0,0
23.1,420,20,0,0
23.3,424,20,0,0
23.5,428,20,0,0
23.6,430,20,0,0
23.8,434,20,0,0
24,438,20,0,0
24.1,440,20,0,0
24.3,444,20,0,0
24.5,448,20,0,0
24.6,450,20,0,0
24.8,454,20,0,0
25,458,20,0,0
25.1,460,20,0,0
25.3,464,20,0,0
25.5,468,20,0,0
25.6,470,20,0,0
25.7,472,20,0,0
25.8,474,20,0,0
25.9,476,20,0,0
26,478,20,0,0
26.1,480,20,0,0
26.2,482,20,0,0
26.3,484,20,0,0
26.4,486,20,0,0
26.5,488,20,0,0
26.6,490,20,0,0
26.7,492,20,0,0
26.8,494,20,0,0
26.9,496,20,0,0
27,498,20,0,0
27.1,500,20,0,0
27.2,502,20,0,0
27.3,504,20,0,0
27.4,506,20,0,0
27.5,508,20,0,0
27.6,510,20,0,0
27.7,512,20,0,0
27.8,514,20,0,0
27.9,516,20,0,0
28,518,20,0,0
28.1,520,20,0,0
28.2,522,20,0,0
28.3,524,20,0,0
28.4,526,20,0,0
28.5,528,20,0,0
28.6,530,20,0,0
28.7,532,20,0,0
28.8,534,20,0,0
28.9,536,20,0,0
29,538,20,0,0
29.1,540,20,0,0
29.2,542,20,0,0
29.3,544,20,0,0
29.4,546,20,0,0
29.5,548,20,0,0
29.6,550,20,0,0
29.7,552,20,0,0
29.8,554,20,0,0
29.9,556,20,0,0
30,558,20,0,0
